s_Q,prob_lead_lifetime
2043,2.5556510361536987E-16
2042,3.850614010030882E-16
2041,5.7427916386875353E-16
2040,8.4829897902670961E-16
2039,1.2417959933194284E-15
2038,1.8023835877179043E-15
2037,2.5950182172344892E-15
2036,3.7077718044042573E-15
2035,5.2593583965710218E-15
2034,7.40890117456943E-15
2033,1.0368548400455362E-14
2032,1.4419697356991342E-14
2031,1.9933769507933773E-14
2030,2.7398704794174251E-14
2029,3.7452616195696981E-14
2028,5.0926376865008638E-14
2027,6.8897312335983931E-14
2026,9.2756652470159759E-14
2025,1.2429397700951291E-13
2024,1.6580258241224519E-13
2023,2.2021052641789572E-13
2022,2.9124309408065904E-13
2021,3.836236020165908E-13
2020,5.0332084763403959E-13
2019,6.5785315310224564E-13
2018,8.5666089093466061E-13
2017,1.1115616563695481E-12
2016,1.4373049248514156E-12
2015,1.8522461618399261E-12
2014,2.3791640060858344E-12
2013,3.0462484047219655E-12
2012,3.8882925274387034E-12
2011,4.9481270272500243E-12
2010,6.2783418588488752E-12
2009,7.9433485378170283E-12
2008,1.0021844565410562E-11
2007,1.2609751911008331E-11
2006,1.5823713112103747E-11
2005,1.9805241913824686E-11
2004,2.4725640641286541E-11
2003,3.0791813916274308E-11
2002,3.8253128157011553E-11
2001,4.74094888247141E-11
2000,5.8620832920169985E-11
1999,7.2318263134930465E-11
1998,8.90170827042917E-11
1997,1.0933202680678966E-10
1996,1.3399502775735215E-10
1995,1.6387589773666993E-10
1994,2.0000636491597089E-10
1993,2.4360795714433715E-10
1992,2.9612429247873251E-10
1991,3.5925840841394627E-10
1990,4.3501584241620562E-10
1989,5.2575426603345634E-10
1988,6.34240574249094E-10
1987,7.6371644171515981E-10
1986,9.1797347894601109E-10
1985,1.1014392554236074E-09
1984,1.3192756038585162E-09
1983,1.5774907816113611E-09
1982,1.8830672425976068E-09
1981,2.2441069670067758E-09
1980,2.6699965080371232E-09
1979,3.1715941457850634E-09
1978,3.7614417896718394E-09
1977,4.454004543598323E-09
1976,5.2659411436695711E-09
1975,6.2164087981089688E-09
1974,7.3274063041719711E-09
1973,8.6241596887436746E-09
1972,1.0135555019111258E-08
1971,1.1894623459352193E-08
1970,1.3939084107030572E-08
1969,1.6311950635535783E-08
1968,1.9062208290432069E-08
1967,2.2245568344509873E-08
1966,2.5925307706606641E-08
1965,3.0173202004313191E-08
1964,3.5070561120841829E-08
1963,4.0709376861844137E-08
1962,4.7193593158840335E-08
1961,5.4640509981910727E-08
1960,6.31823329348671E-08
1959,7.2967881340413555E-08
1958,8.4164468489611886E-08
1957,9.695996862769389E-08
1956,1.1156508617489509E-07
1955,1.2821584363404943E-07
1954,1.4717630561322347E-07
1953,1.6874155738818845E-07
1952,1.9324095744198426E-07
1951,2.2104168444257058E-07
1950,2.5255260014931886E-07
1949,2.8822845076893436E-07
1948,3.2857443030468793E-07
1947,3.74151130452239E-07
1946,4.2557990258275808E-07
1945,4.8354865831065845E-07
1944,5.4881813605939191E-07
1943,6.222286619040237E-07
1942,7.0470743377246119E-07
1941,7.97276358816209E-07
1940,9.0106047440357035E-07
1939,1.0172969837296504E-06
1938,1.1473449374639636E-06
1937,1.2926955931527947E-06
1936,1.4549834842438206E-06
1935,1.6359982305883989E-06
1934,1.8376971220852578E-06
1933,2.0622185067403851E-06
1932,2.3118960138136286E-06
1931,2.5892736418843464E-06
1930,2.8971217405776335E-06
1929,3.2384539133301709E-06
1928,3.6165448669216683E-06
1927,4.0349492315351881E-06
1926,4.4975213728187519E-06
1925,5.0084362147830579E-06
1924,5.5722110893683446E-06
1923,6.1937286251302674E-06
1922,6.878260683713979E-06
1921,7.6314933485926966E-06
1920,8.4595529659280277E-06
1919,9.369033232352313E-06
1918,1.0367023318968126E-05
1917,1.146113701489816E-05
1916,1.2659542867294749E-05
1915,1.3970995287828077E-05
1914,1.5404866588315684E-05
1913,1.6971179900334939E-05
1912,1.8680642925380371E-05
1911,2.0544682453398804E-05
1910,2.2575479578368544E-05
1909,2.4786005530002213E-05
1908,2.7190058030666602E-05
1907,2.9802298076251782E-05
1906,3.263828702901571E-05
1905,3.5714523899414394E-05
1904,3.904848268263826E-05
1903,4.2658649604060183E-05
1902,4.6564560116104556E-05
1901,5.0786835477226571E-05
1900,5.5347218731805086E-05
1899,6.0268609897862777E-05
1898,6.5575100157705786E-05
1897,7.129200483489409E-05
1896,7.7445894929489877E-05
1895,8.406462697237163E-05
1894,9.117737094862861E-05
1893,9.8814636029759153E-05
1892,0.00010700829384467864
1891,0.0001157915990105001
1890,0.00012519920663577722
1889,0.00013526718650150893
1888,0.00014603303361878931
1887,0.00015753567485666335
1886,0.00016981547132961759
1885,0.000182914216231302
1884,0.00019687512779965633
1883,0.00021174283709869451
1882,0.00022756337030389623
1881,0.00024438412518155278
1880,0.00026225384145761973
1879,0.00028122256477871503
1878,0.00030134160397696854
1877,0.00032266348136153391
1876,0.000345241875772797
1875,0.00036913155815070862
1874,0.00039438831938628372
1873,0.00042106889024518023
1872,0.00044923085317441941
1871,0.00047893254582777263
1870,0.00051023295617207316
1869,0.00054319160906574635
1868,0.00057786844423214038
1867,0.00061432368558372061
1866,0.00065261770188882883
1865,0.00069281085881043832
1864,0.00073496336238599214
1863,0.00077913509405898665
1862,0.00082538543741624709
1861,0.00087377309682970636
1860,0.00092435590824782609
1859,0.00097719064242933083
1858,0.0010323328009605337
1857,0.0010898364054469653
1856,0.001149753780320047
1855,0.0012121353297499529
1854,0.0012770293092062802
1853,0.0013444815922584853
1852,0.0014145354332578781
1851,0.0014872312265920872
1850,0.0015626062632509354
1849,0.0016406944854893419
1848,0.0017215262404178351
1847,0.0018051280333942212
1846,0.0018915222821305861
1845,0.0019807270724677261
1844,0.0020727559168041108
